trade_date,strategy,samples,hit_rate_3d,avg_3d_ret_pct
2026-06-01,breakout_theme,4,75.0,0.543
2026-06-01,broad_trend,30,43.33,0.957
2026-06-01,fund_flow,30,36.67,-1.358
2026-06-01,main_theme,20,50.0,2.953
2026-06-01,quality_trend,30,26.67,-0.925
2026-06-02,breakout_theme,11,45.45,-0.954
2026-06-02,broad_trend,30,60.0,3.138
2026-06-02,fund_flow,30,36.67,-1.473
2026-06-02,main_theme,30,56.67,2.717
2026-06-02,quality_trend,30,20.0,-3.871
2026-06-03,breakout_theme,12,25.0,-3.726
2026-06-03,broad_trend,30,33.33,-2.95
2026-06-03,fund_flow,30,20.0,-6.477
2026-06-03,main_theme,30,30.0,-3.674
2026-06-03,quality_trend,30,6.67,-8.561
2026-06-04,breakout_theme,14,71.43,3.752
2026-06-04,broad_trend,30,43.33,0.874
2026-06-04,fund_flow,30,33.33,-0.965
2026-06-04,main_theme,30,36.67,0.477
2026-06-04,quality_trend,16,12.5,-4.428
2026-06-05,breakout_theme,13,30.77,-1.943
2026-06-05,broad_trend,30,43.33,-0.281
2026-06-05,fund_flow,30,50.0,0.144
2026-06-05,main_theme,30,43.33,-0.359
2026-06-05,quality_trend,10,50.0,1.177
2026-06-08,breakout_theme,4,25.0,-2.136
2026-06-08,broad_trend,26,42.31,0.434
2026-06-08,fund_flow,24,41.67,-0.252
2026-06-08,main_theme,8,25.0,-1.55
2026-06-08,quality_trend,5,100.0,5.197
2026-06-09,breakout_theme,13,23.08,-4.864
2026-06-09,broad_trend,30,16.67,-5.857
2026-06-09,fund_flow,30,20.0,-4.626
2026-06-09,main_theme,30,23.33,-4.765
2026-06-09,quality_trend,18,50.0,-0.166
2026-06-10,breakout_theme,6,50.0,6.068
2026-06-10,broad_trend,30,73.33,5.083
2026-06-10,fund_flow,30,66.67,3.772
2026-06-10,main_theme,30,76.67,6.944
2026-06-10,quality_trend,21,71.43,3.931
2026-06-11,breakout_theme,7,100.0,11.489
2026-06-11,broad_trend,30,73.33,7.289
2026-06-11,fund_flow,30,80.0,7.2
2026-06-11,main_theme,30,90.0,11.572
2026-06-11,quality_trend,13,38.46,1.998
2026-06-12,breakout_theme,6,66.67,3.67
2026-06-12,broad_trend,30,40.0,-0.667
2026-06-12,fund_flow,30,40.0,-0.251
2026-06-12,main_theme,16,81.25,3.937
2026-06-12,quality_trend,30,30.0,-1.653
2026-06-15,breakout_theme,13,61.54,2.034
2026-06-15,broad_trend,30,73.33,5.795
2026-06-15,fund_flow,30,76.67,6.479
2026-06-15,main_theme,30,80.0,7.243
2026-06-15,quality_trend,20,25.0,-0.689
2026-06-16,breakout_theme,20,85.0,5.432
2026-06-16,broad_trend,30,76.67,4.067
2026-06-16,fund_flow,30,76.67,4.55
2026-06-16,main_theme,30,73.33,3.992
2026-06-16,quality_trend,18,61.11,0.863
2026-06-17,breakout_theme,19,47.37,-0.088
2026-06-17,broad_trend,30,43.33,-0.087
2026-06-17,fund_flow,30,50.0,-0.083
2026-06-17,main_theme,30,36.67,-1.606
2026-06-17,quality_trend,16,31.25,-2.0
2026-06-18,breakout_theme,16,25.0,-0.098
2026-06-18,broad_trend,30,56.67,2.008
2026-06-18,fund_flow,30,36.67,-0.042
2026-06-18,main_theme,30,53.33,2.067
2026-06-18,quality_trend,6,16.67,-2.948
2026-06-22,breakout_theme,19,42.11,-0.074
2026-06-22,broad_trend,30,53.33,1.629
2026-06-22,fund_flow,30,46.67,0.735
2026-06-22,main_theme,30,63.33,2.736
2026-06-22,quality_trend,21,38.1,-0.158
2026-06-23,breakout_theme,7,28.57,-2.79
2026-06-23,broad_trend,30,46.67,1.537
2026-06-23,fund_flow,30,46.67,3.989
2026-06-23,main_theme,30,53.33,2.2
2026-06-23,quality_trend,13,30.77,-1.509
