bucket,horizon,samples,hit_rate_min,positive_rate,avg_ret_pct,median_ret_pct,best_ret_pct,worst_ret_pct,excess_avg_vs_baseline_pct,excess_hit_vs_baseline_pp
baseline_all_allowed,1,69798,34.41,40.49,-0.253,-0.646,20.305,-20.022,0.0,0.0
baseline_all_allowed,3,69798,31.86,34.76,-0.911,-1.909,72.789,-33.409,0.0,0.0
overall,1,1865,41.93,45.09,0.027,-0.42,20.305,-16.553,0.28,7.52
overall,3,1865,48.26,50.67,0.927,0.159,72.779,-21.429,1.838,16.4
breakout_theme,1,184,46.74,48.91,0.063,-0.058,10.066,-16.553,0.316,12.33
breakout_theme,3,184,49.46,52.72,0.827,0.395,23.676,-21.429,1.738,17.6
broad_trend,1,476,42.44,45.38,0.055,-0.487,20.0,-10.0,0.308,8.03
broad_trend,3,476,51.26,53.57,1.444,0.715,29.858,-21.382,2.355,19.4
fund_flow,1,474,41.35,45.15,-0.013,-0.415,17.557,-10.0,0.24,6.94
fund_flow,3,474,47.47,49.37,0.721,-0.127,31.013,-19.538,1.632,15.61
main_theme,1,434,45.85,48.39,0.394,-0.229,20.305,-10.056,0.647,11.44
main_theme,3,434,55.3,57.37,2.295,1.558,72.779,-21.419,3.206,23.44
quality_trend,1,297,33.33,37.37,-0.511,-0.638,9.985,-10.008,-0.258,-1.08
quality_trend,3,297,33.67,37.04,-1.511,-1.884,21.918,-19.636,-0.6,1.81
recommendations_overall,1,80,46.25,47.5,0.431,-0.617,20.305,-8.984,0.684,11.84
recommendations_overall,3,80,56.25,57.5,1.389,2.123,19.204,-21.382,2.3,24.39
recommendations_main_theme,1,80,46.25,47.5,0.431,-0.617,20.305,-8.984,0.684,11.84
recommendations_main_theme,3,80,56.25,57.5,1.389,2.123,19.204,-21.382,2.3,24.39
high_confidence_v1_overall,1,22,59.09,59.09,0.849,1.45,10.01,-8.075,1.102,24.68
high_confidence_v1_overall,3,22,77.27,77.27,4.276,4.074,19.204,-7.118,5.187,45.41
high_confidence_v1_main_theme,1,22,59.09,59.09,0.849,1.45,10.01,-8.075,1.102,24.68
high_confidence_v1_main_theme,3,22,77.27,77.27,4.276,4.074,19.204,-7.118,5.187,45.41
